,응시기간,시험명,학년, 응시일자,전체,국어,영어,수학,과학,사회,역사
589,2021. 12 ~2022. 12,AI진단평가,중2,2022-03-15 00:00:00,99,22,22.0,32.0,0.0,23.0,0.0
590,2021. 12 ~2022. 12,AI진단평가,중2,2022-03-15 00:00:00,360,79,72.0,82.0,,45.0,82.0
591,2021. 12 ~2022. 12,AI진단평가,중2,2022-03-16 00:00:00,320,50,58.0,77.0,67.0,30.0,38.0
592,2021. 12 ~2022. 12,AI진단평가,중2,2022-03-16 00:00:00,237,68,11.0,37.0,30.0,38.0,53.0
593,2021. 12 ~2022. 12,AI진단평가,중2,2022-03-16 00:00:00,326,93,86.0,94.0,,53.0,
594,2021. 12 ~2022. 12,AI진단평가,중2,2022-03-16 00:00:00,226,75,43.0,63.0,,45.0,
595,2021. 12 ~2022. 12,AI진단평가,중2,2022-03-17 00:00:00,161,68,47.0,23.0,,23.0,
596,2021. 12 ~2022. 12,AI진단평가,중2,2022-03-17 00:00:00,252,63,63.0,63.0,,63.0,
597,2021. 12 ~2022. 12,AI진단평가,중2,2022-03-17 00:00:00,249,50,40.0,27.0,30.0,79.0,23.0
598,2021. 12 ~2022. 12,AI진단평가,중2,2022-03-17 00:00:00,93,93,0.0,0.0,,0.0,
599,2021. 12 ~2022. 12,AI진단평가,중2,2022-03-17 00:00:00,241,68,40.0,49.0,46.0,0.0,38.0
600,2021. 12 ~2022. 12,AI진단평가,중2,2022-03-17 00:00:00,230,75,86.0,46.0,,23.0,
601,2021. 12 ~2022. 12,AI진단평가,중2,2022-03-17 00:00:00,209,40,36.0,77.0,,56.0,
602,2021. 12 ~2022. 12,AI진단평가,중2,2022-03-18 00:00:00,252,63,63.0,63.0,,63.0,
603,2021. 12 ~2022. 12,AI진단평가,중2,2022-03-18 00:00:00,252,63,63.0,63.0,,63.0,
604,2021. 12 ~2022. 12,AI진단평가,중2,2022-03-18 00:00:00,218,86,47.0,32.0,,53.0,
605,2021. 12 ~2022. 12,AI진단평가,중2,2022-03-18 00:00:00,207,50,33.0,18.0,45.0,23.0,38.0
606,2021. 12 ~2022. 12,AI진단평가,중2,2022-03-18 00:00:00,396,100,79.0,63.0,45.0,48.0,61.0
607,2021. 12 ~2022. 12,AI진단평가,중2,2022-03-18 00:00:00,216,54,29.0,9.0,30.0,56.0,38.0
608,2021. 12 ~2022. 12,AI진단평가,중2,2022-03-19 00:00:00,198,36,72.0,14.0,,38.0,38.0
609,2021. 12 ~2022. 12,AI진단평가,중2,2022-03-19 00:00:00,291,58,40.0,62.0,45.0,30.0,56.0
610,2021. 12 ~2022. 12,AI진단평가,중2,2022-03-19 00:00:00,252,63,63.0,63.0,,63.0,
611,2021. 12 ~2022. 12,AI진단평가,중2,2022-03-19 00:00:00,360,68,72.0,43.0,53.0,53.0,71.0
612,2021. 12 ~2022. 12,AI진단평가,중2,2022-03-19 00:00:00,441,86,58.0,69.0,90.0,38.0,100.0
613,2021. 12 ~2022. 12,AI진단평가,중2,2022-03-19 00:00:00,61,61,0.0,0.0,,0.0,0.0
614,2021. 12 ~2022. 12,AI진단평가,중2,2022-03-20 00:00:00,227,22,47.0,82.0,,38.0,38.0
615,2021. 12 ~2022. 12,AI진단평가,중2,2022-03-20 00:00:00,360,43,36.0,60.0,79.0,71.0,71.0
616,2021. 12 ~2022. 12,AI진단평가,중2,2022-03-21 00:00:00,20,0,11.0,9.0,,0.0,
617,2021. 12 ~2022. 12,AI진단평가,중2,2022-03-21 00:00:00,302,86,65.0,65.0,,15.0,71.0
618,2021. 12 ~2022. 12,AI진단평가,중2,2022-03-21 00:00:00,68,68,0.0,0.0,,0.0,0.0
619,2021. 12 ~2022. 12,AI진단평가,중2,2022-03-21 00:00:00,491,93,93.0,94.0,53.0,79.0,79.0
620,2021. 12 ~2022. 12,AI진단평가,중2,2022-03-21 00:00:00,150,29,29.0,9.0,45.0,38.0,0.0
621,2021. 12 ~2022. 12,AI진단평가,중2,2022-03-21 00:00:00,202,68,58.0,46.0,,30.0,
622,2021. 12 ~2022. 12,AI진단평가,중2,2022-03-22 00:00:00,191,29,72.0,52.0,,23.0,15.0
623,2021. 12 ~2022. 12,AI진단평가,중2,2022-03-22 00:00:00,231,93,65.0,28.0,,45.0,
624,2021. 12 ~2022. 12,AI진단평가,중2,2022-03-22 00:00:00,262,68,47.0,18.0,53.0,53.0,23.0
625,2021. 12 ~2022. 12,AI진단평가,중2,2022-03-22 00:00:00,274,47,75.0,69.0,,30.0,53.0
626,2021. 12 ~2022. 12,AI진단평가,중2,2022-03-22 00:00:00,206,68,54.0,9.0,45.0,30.0,0.0
627,2021. 12 ~2022. 12,AI진단평가,중2,2022-03-22 00:00:00,228,93,58.0,47.0,,30.0,0.0
628,2021. 12 ~2022. 12,AI진단평가,중2,2022-03-22 00:00:00,264,36,40.0,41.0,61.0,30.0,56.0
629,2021. 12 ~2022. 12,AI진단평가,중2,2022-03-22 00:00:00,394,75,86.0,82.0,,90.0,61.0
630,2021. 12 ~2022. 12,AI진단평가,중2,2022-03-23 00:00:00,252,63,63.0,63.0,,63.0,
631,2021. 12 ~2022. 12,AI진단평가,중2,2022-03-23 00:00:00,50,50,0.0,0.0,,0.0,
632,2021. 12 ~2022. 12,AI진단평가,중2,2022-03-23 00:00:00,75,75,0.0,0.0,0.0,0.0,0.0
633,2021. 12 ~2022. 12,AI진단평가,중2,2022-03-23 00:00:00,291,93,72.0,78.0,,48.0,
634,2021. 12 ~2022. 12,AI진단평가,중2,2022-03-23 00:00:00,195,43,36.0,60.0,,56.0,
635,2021. 12 ~2022. 12,AI진단평가,중2,2022-03-24 00:00:00,252,63,63.0,63.0,,63.0,
636,2021. 12 ~2022. 12,AI진단평가,중2,2022-03-24 00:00:00,61,61,0.0,0.0,,0.0,0.0
637,2021. 12 ~2022. 12,AI진단평가,중2,2022-03-24 00:00:00,209,47,54.0,55.0,,53.0,
638,2021. 12 ~2022. 12,AI진단평가,중2,2022-03-24 00:00:00,303,79,100.0,71.0,,53.0,0.0
639,2021. 12 ~2022. 12,AI진단평가,중2,2022-03-24 00:00:00,307,61,54.0,68.0,0.0,63.0,61.0
640,2021. 12 ~2022. 12,AI진단평가,중2,2022-03-24 00:00:00,252,63,63.0,63.0,,63.0,
641,2021. 12 ~2022. 12,AI진단평가,중2,2022-03-24 00:00:00,104,18,29.0,42.0,,15.0,0.0
642,2021. 12 ~2022. 12,AI진단평가,중2,2022-03-24 00:00:00,51,29,22.0,0.0,,0.0,0.0
643,2021. 12 ~2022. 12,AI진단평가,중2,2022-03-24 00:00:00,209,93,65.0,51.0,,0.0,0.0
644,2021. 12 ~2022. 12,AI진단평가,중2,2022-03-24 00:00:00,374,93,79.0,88.0,,45.0,69.0
645,2021. 12 ~2022. 12,AI진단평가,중2,2022-03-25 00:00:00,252,63,63.0,63.0,,63.0,
646,2021. 12 ~2022. 12,AI진단평가,중2,2022-03-25 00:00:00,252,63,63.0,63.0,,63.0,
647,2021. 12 ~2022. 12,AI진단평가,중2,2022-03-25 00:00:00,40,40,0.0,0.0,,0.0,
648,2021. 12 ~2022. 12,AI진단평가,중2,2022-03-25 00:00:00,229,11,47.0,27.0,53.0,53.0,38.0
649,2021. 12 ~2022. 12,AI진단평가,중2,2022-03-25 00:00:00,313,61,47.0,77.0,,61.0,67.0
650,2021. 12 ~2022. 12,AI진단평가,중2,2022-03-26 00:00:00,315,68,33.0,71.0,,90.0,53.0
651,2021. 12 ~2022. 12,AI진단평가,중2,2022-03-26 00:00:00,190,61,54.0,60.0,,15.0,
652,2021. 12 ~2022. 12,AI진단평가,중2,2022-03-26 00:00:00,252,63,63.0,63.0,,63.0,
653,2021. 12 ~2022. 12,AI진단평가,중2,2022-03-26 00:00:00,407,72,58.0,66.0,79.0,53.0,79.0
654,2021. 12 ~2022. 12,AI진단평가,중2,2022-03-26 00:00:00,193,75,36.0,52.0,,30.0,
655,2021. 12 ~2022. 12,AI진단평가,중2,2022-03-27 00:00:00,137,18,36.0,0.0,30.0,38.0,15.0
656,2021. 12 ~2022. 12,AI진단평가,중2,2022-03-27 00:00:00,100,0,0.0,9.0,23.0,15.0,53.0
657,2021. 12 ~2022. 12,AI진단평가,중2,2022-03-28 00:00:00,252,63,63.0,63.0,,63.0,
658,2021. 12 ~2022. 12,AI진단평가,중2,2022-03-28 00:00:00,298,93,33.0,14.0,56.0,46.0,56.0
659,2021. 12 ~2022. 12,AI진단평가,중2,2022-03-28 00:00:00,356,86,86.0,82.0,,79.0,23.0
660,2021. 12 ~2022. 12,AI진단평가,중2,2022-03-28 00:00:00,238,68,61.0,94.0,,15.0,
661,2021. 12 ~2022. 12,AI진단평가,중2,2022-03-28 00:00:00,126,61,65.0,0.0,0.0,0.0,0.0
662,2021. 12 ~2022. 12,AI진단평가,중2,2022-03-29 00:00:00,177,36,18.0,37.0,,63.0,23.0
663,2021. 12 ~2022. 12,AI진단평가,중2,2022-03-29 00:00:00,451,75,54.0,89.0,53.0,90.0,90.0
664,2021. 12 ~2022. 12,AI진단평가,중2,2022-03-29 00:00:00,242,93,47.0,27.0,45.0,30.0,0.0
665,2021. 12 ~2022. 12,AI진단평가,중2,2022-03-29 00:00:00,154,61,47.0,23.0,,0.0,23.0
666,2021. 12 ~2022. 12,AI진단평가,중2,2022-03-29 00:00:00,139,40,22.0,32.0,30.0,15.0,
667,2021. 12 ~2022. 12,AI진단평가,중2,2022-03-30 00:00:00,247,36,44.0,50.0,,38.0,79.0
668,2021. 12 ~2022. 12,AI진단평가,중2,2022-03-30 00:00:00,101,54,29.0,18.0,0.0,0.0,0.0
669,2021. 12 ~2022. 12,AI진단평가,중2,2022-03-30 00:00:00,18,0,0.0,18.0,0.0,0.0,0.0
670,2021. 12 ~2022. 12,AI진단평가,중2,2022-03-30 00:00:00,272,75,25.0,71.0,,53.0,48.0
671,2021. 12 ~2022. 12,AI진단평가,중2,2022-03-30 00:00:00,252,63,63.0,63.0,,63.0,
672,2021. 12 ~2022. 12,AI진단평가,중2,2022-03-30 00:00:00,69,33,36.0,0.0,,0.0,0.0
673,2021. 12 ~2022. 12,AI진단평가,중2,2022-03-30 00:00:00,76,47,29.0,0.0,,,
674,2021. 12 ~2022. 12,AI진단평가,중2,2022-03-31 00:00:00,200,93,54.0,0.0,0.0,15.0,38.0
675,2021. 12 ~2022. 12,AI진단평가,중2,2022-03-31 00:00:00,353,93,65.0,37.0,,79.0,79.0
676,2021. 12 ~2022. 12,AI진단평가,중2,2022-03-31 00:00:00,188,29,22.0,66.0,,71.0,0.0
677,2021. 12 ~2022. 12,AI진단평가,중2,2022-03-31 00:00:00,161,86,75.0,0.0,,0.0,0.0
678,2021. 12 ~2022. 12,AI진단평가,중2,2022-03-31 00:00:00,213,68,36.0,61.0,,48.0,
679,2021. 12 ~2022. 12,AI진단평가,중2,2022-03-31 00:00:00,322,75,36.0,77.0,48.0,71.0,15.0
680,2021. 12 ~2022. 12,AI진단평가,중2,2022-03-31 00:00:00,328,61,65.0,82.0,82.0,38.0,
681,2021. 12 ~2022. 12,AI진단평가,중2,2022-03-31 00:00:00,105,25,0.0,9.0,,71.0,0.0
682,2021. 12 ~2022. 12,AI진단평가,중2,2022-03-31 00:00:00,188,36,72.0,80.0,0.0,0.0,0.0
683,2021. 12 ~2022. 12,AI진단평가,중2,2022-04-01 00:00:00,370,93,61.0,88.0,,38.0,90.0
684,2021. 12 ~2022. 12,AI진단평가,중2,2022-04-01 00:00:00,187,50,22.0,9.0,,53.0,53.0
685,2021. 12 ~2022. 12,AI진단평가,중2,2022-04-01 00:00:00,181,47,29.0,37.0,,45.0,23.0
686,2021. 12 ~2022. 12,AI진단평가,중2,2022-04-01 00:00:00,252,63,63.0,63.0,,63.0,
687,2021. 12 ~2022. 12,AI진단평가,중2,2022-04-01 00:00:00,79,79,0.0,0.0,,0.0,
688,2021. 12 ~2022. 12,AI진단평가,중2,2022-04-01 00:00:00,252,63,63.0,63.0,,63.0,
689,2021. 12 ~2022. 12,AI진단평가,중2,2022-04-02 00:00:00,278,75,36.0,65.0,,56.0,46.0
690,2021. 12 ~2022. 12,AI진단평가,중2,2022-04-02 00:00:00,50,50,0.0,0.0,,0.0,0.0
691,2021. 12 ~2022. 12,AI진단평가,중2,2022-04-02 00:00:00,256,68,93.0,57.0,,38.0,
692,2021. 12 ~2022. 12,AI진단평가,중2,2022-04-02 00:00:00,282,47,72.0,65.0,45.0,38.0,15.0
693,2021. 12 ~2022. 12,AI진단평가,중2,2022-04-02 00:00:00,193,75,18.0,9.0,30.0,61.0,0.0
694,2021. 12 ~2022. 12,AI진단평가,중2,2022-04-02 00:00:00,172,22,29.0,23.0,53.0,30.0,15.0
695,2021. 12 ~2022. 12,AI진단평가,중2,2022-04-02 00:00:00,83,11,0.0,9.0,,63.0,
696,2021. 12 ~2022. 12,AI진단평가,중2,2022-04-03 00:00:00,72,25,47.0,0.0,,0.0,0.0
697,2021. 12 ~2022. 12,AI진단평가,중2,2022-04-03 00:00:00,152,40,18.0,41.0,,30.0,23.0
698,2021. 12 ~2022. 12,AI진단평가,중2,2022-04-03 00:00:00,179,50,11.0,9.0,,30.0,79.0
699,2021. 12 ~2022. 12,AI진단평가,중2,2022-04-03 00:00:00,182,79,36.0,37.0,,15.0,15.0
700,2021. 12 ~2022. 12,AI진단평가,중2,2022-04-03 00:00:00,68,68,0.0,0.0,,0.0,0.0
701,2021. 12 ~2022. 12,AI진단평가,중2,2022-04-03 00:00:00,328,65,65.0,47.0,90.0,38.0,23.0
702,2021. 12 ~2022. 12,AI진단평가,중2,2022-04-03 00:00:00,54,54,0.0,0.0,,0.0,0.0
703,2021. 12 ~2022. 12,AI진단평가,중2,2022-04-04 00:00:00,252,63,63.0,63.0,,63.0,
704,2021. 12 ~2022. 12,AI진단평가,중2,2022-04-04 00:00:00,133,68,65.0,0.0,,0.0,0.0
705,2021. 12 ~2022. 12,AI진단평가,중2,2022-04-04 00:00:00,101,54,47.0,0.0,,0.0,
706,2021. 12 ~2022. 12,AI진단평가,중2,2022-04-04 00:00:00,50,50,0.0,0.0,,0.0,0.0
707,2021. 12 ~2022. 12,AI진단평가,중2,2022-04-04 00:00:00,191,29,86.0,46.0,15.0,0.0,15.0
708,2021. 12 ~2022. 12,AI진단평가,중2,2022-04-04 00:00:00,137,79,58.0,0.0,,0.0,0.0
709,2021. 12 ~2022. 12,AI진단평가,중2,2022-04-04 00:00:00,75,18,18.0,9.0,30.0,0.0,0.0
710,2021. 12 ~2022. 12,AI진단평가,중2,2022-04-05 00:00:00,24,0,0.0,9.0,15.0,0.0,0.0
711,2021. 12 ~2022. 12,AI진단평가,중2,2022-04-05 00:00:00,252,63,63.0,63.0,,63.0,
712,2021. 12 ~2022. 12,AI진단평가,중2,2022-04-05 00:00:00,103,29,47.0,27.0,0.0,0.0,0.0
713,2021. 12 ~2022. 12,AI진단평가,중2,2022-04-05 00:00:00,75,75,0.0,0.0,,0.0,0.0
714,2021. 12 ~2022. 12,AI진단평가,중2,2022-04-05 00:00:00,365,68,100.0,57.0,,79.0,61.0
715,2021. 12 ~2022. 12,AI진단평가,중2,2022-04-05 00:00:00,252,63,63.0,63.0,,63.0,
716,2021. 12 ~2022. 12,AI진단평가,중2,2022-04-05 00:00:00,40,29,11.0,0.0,0.0,0.0,0.0
717,2021. 12 ~2022. 12,AI진단평가,중2,2022-04-05 00:00:00,287,75,65.0,41.0,,45.0,61.0
718,2021. 12 ~2022. 12,AI진단평가,중2,2022-04-05 00:00:00,271,36,86.0,50.0,,38.0,61.0
719,2021. 12 ~2022. 12,AI진단평가,중2,2022-04-05 00:00:00,482,79,79.0,63.0,100.0,61.0,100.0
720,2021. 12 ~2022. 12,AI진단평가,중2,2022-04-05 00:00:00,370,75,93.0,60.0,,63.0,79.0
721,2021. 12 ~2022. 12,AI진단평가,중2,2022-04-05 00:00:00,135,29,40.0,36.0,,30.0,
722,2021. 12 ~2022. 12,AI진단평가,중2,2022-04-06 00:00:00,303,47,47.0,48.0,90.0,71.0,
723,2021. 12 ~2022. 12,AI진단평가,중2,2022-04-06 00:00:00,237,47,47.0,29.0,,53.0,61.0
724,2021. 12 ~2022. 12,AI진단평가,중2,2022-04-06 00:00:00,161,50,40.0,71.0,,0.0,0.0
725,2021. 12 ~2022. 12,AI진단평가,중2,2022-04-06 00:00:00,492,75,93.0,100.0,100.0,53.0,71.0
726,2021. 12 ~2022. 12,AI진단평가,중2,2022-04-06 00:00:00,228,86,61.0,18.0,,63.0,
727,2021. 12 ~2022. 12,AI진단평가,중2,2022-04-06 00:00:00,261,61,79.0,76.0,,30.0,15.0
728,2021. 12 ~2022. 12,AI진단평가,중2,2022-04-06 00:00:00,206,40,18.0,57.0,38.0,15.0,38.0
729,2021. 12 ~2022. 12,AI진단평가,중2,2022-04-06 00:00:00,310,75,51.0,94.0,,23.0,67.0
730,2021. 12 ~2022. 12,AI진단평가,중2,2022-04-06 00:00:00,437,72,86.0,83.0,48.0,69.0,79.0
731,2021. 12 ~2022. 12,AI진단평가,중2,2022-04-06 00:00:00,68,68,0.0,0.0,0.0,0.0,0.0
732,2021. 12 ~2022. 12,AI진단평가,중2,2022-04-06 00:00:00,313,0,47.0,100.0,69.0,30.0,67.0
733,2021. 12 ~2022. 12,AI진단평가,중2,2022-04-07 00:00:00,300,61,72.0,76.0,53.0,38.0,0.0
734,2021. 12 ~2022. 12,AI진단평가,중2,2022-04-07 00:00:00,249,86,51.0,66.0,,23.0,23.0
735,2021. 12 ~2022. 12,AI진단평가,중2,2022-04-07 00:00:00,143,18,0.0,9.0,30.0,38.0,48.0
736,2021. 12 ~2022. 12,AI진단평가,중2,2022-04-07 00:00:00,254,68,40.0,32.0,,53.0,61.0
737,2021. 12 ~2022. 12,AI진단평가,중2,2022-04-07 00:00:00,205,61,18.0,55.0,,15.0,56.0
738,2021. 12 ~2022. 12,AI진단평가,중2,2022-04-07 00:00:00,252,63,63.0,63.0,,63.0,
739,2021. 12 ~2022. 12,AI진단평가,중2,2022-04-07 00:00:00,109,29,47.0,18.0,,15.0,
740,2021. 12 ~2022. 12,AI진단평가,중2,2022-04-07 00:00:00,267,65,79.0,100.0,,23.0,0.0
741,2021. 12 ~2022. 12,AI진단평가,중2,2022-04-07 00:00:00,279,75,22.0,20.0,53.0,53.0,56.0
742,2021. 12 ~2022. 12,AI진단평가,중2,2022-04-07 00:00:00,229,54,40.0,51.0,46.0,23.0,15.0
743,2021. 12 ~2022. 12,AI진단평가,중2,2022-04-07 00:00:00,143,36,61.0,46.0,,0.0,0.0
744,2021. 12 ~2022. 12,AI진단평가,중2,2022-04-07 00:00:00,266,68,54.0,83.0,,61.0,
745,2021. 12 ~2022. 12,AI진단평가,중2,2022-04-07 00:00:00,323,40,18.0,51.0,53.0,82.0,79.0
746,2021. 12 ~2022. 12,AI진단평가,중2,2022-04-07 00:00:00,192,54,29.0,18.0,,30.0,61.0
747,2021. 12 ~2022. 12,AI진단평가,중2,2022-04-08 00:00:00,86,43,43.0,0.0,0.0,0.0,0.0
748,2021. 12 ~2022. 12,AI진단평가,중2,2022-04-08 00:00:00,252,63,63.0,63.0,,63.0,
749,2021. 12 ~2022. 12,AI진단평가,중2,2022-04-08 00:00:00,18,18,0.0,0.0,0.0,0.0,0.0
750,2021. 12 ~2022. 12,AI진단평가,중2,2022-04-08 00:00:00,122,36,33.0,0.0,23.0,15.0,15.0
751,2021. 12 ~2022. 12,AI진단평가,중2,2022-04-08 00:00:00,40,40,0.0,0.0,,0.0,0.0
752,2021. 12 ~2022. 12,AI진단평가,중2,2022-04-08 00:00:00,245,75,29.0,18.0,45.0,63.0,15.0
753,2021. 12 ~2022. 12,AI진단평가,중2,2022-04-08 00:00:00,93,93,0.0,0.0,,0.0,0.0
754,2021. 12 ~2022. 12,AI진단평가,중2,2022-04-08 00:00:00,176,61,18.0,14.0,30.0,15.0,38.0
755,2021. 12 ~2022. 12,AI진단평가,중2,2022-04-08 00:00:00,181,54,72.0,55.0,,0.0,
756,2021. 12 ~2022. 12,AI진단평가,중2,2022-04-09 00:00:00,98,33,65.0,0.0,,0.0,
757,2021. 12 ~2022. 12,AI진단평가,중2,2022-04-09 00:00:00,183,75,36.0,57.0,,15.0,
758,2021. 12 ~2022. 12,AI진단평가,중2,2022-04-09 00:00:00,326,86,54.0,51.0,,79.0,56.0
759,2021. 12 ~2022. 12,AI진단평가,중2,2022-04-09 00:00:00,130,50,29.0,18.0,,33.0,0.0
760,2021. 12 ~2022. 12,AI진단평가,중2,2022-04-09 00:00:00,367,75,65.0,51.0,56.0,90.0,30.0
761,2021. 12 ~2022. 12,AI진단평가,중2,2022-04-10 00:00:00,350,93,51.0,57.0,48.0,45.0,56.0
762,2021. 12 ~2022. 12,AI진단평가,중2,2022-04-10 00:00:00,127,36,58.0,18.0,,15.0,0.0
763,2021. 12 ~2022. 12,AI진단평가,중2,2022-04-10 00:00:00,477,61,65.0,82.0,100.0,69.0,100.0
764,2021. 12 ~2022. 12,AI진단평가,중2,2022-04-10 00:00:00,79,50,29.0,0.0,0.0,0.0,
765,2021. 12 ~2022. 12,AI진단평가,중2,2022-04-10 00:00:00,79,79,0.0,0.0,,0.0,0.0
766,2021. 12 ~2022. 12,AI진단평가,중2,2022-04-10 00:00:00,140,75,65.0,0.0,,0.0,0.0
767,2021. 12 ~2022. 12,AI진단평가,중2,2022-04-10 00:00:00,358,100,79.0,65.0,,61.0,53.0
768,2021. 12 ~2022. 12,AI진단평가,중2,2022-04-10 00:00:00,346,61,93.0,71.0,30.0,45.0,46.0
769,2021. 12 ~2022. 12,AI진단평가,중2,2022-04-10 00:00:00,428,100,93.0,100.0,,79.0,56.0
770,2021. 12 ~2022. 12,AI진단평가,중2,2022-04-10 00:00:00,134,0,47.0,34.0,,53.0,
771,2021. 12 ~2022. 12,AI진단평가,중2,2022-04-10 00:00:00,58,58,0.0,0.0,0.0,0.0,0.0
772,2021. 12 ~2022. 12,AI진단평가,중2,2022-04-10 00:00:00,72,43,29.0,0.0,0.0,0.0,0.0
773,2021. 12 ~2022. 12,AI진단평가,중2,2022-04-10 00:00:00,336,86,58.0,41.0,53.0,53.0,45.0
774,2021. 12 ~2022. 12,AI진단평가,중2,2022-04-11 00:00:00,61,61,0.0,0.0,,0.0,0.0
775,2021. 12 ~2022. 12,AI진단평가,중2,2022-04-11 00:00:00,78,0,22.0,41.0,15.0,0.0,0.0
776,2021. 12 ~2022. 12,AI진단평가,중2,2022-04-11 00:00:00,173,43,0.0,14.0,45.0,56.0,15.0
777,2021. 12 ~2022. 12,AI진단평가,중2,2022-04-11 00:00:00,75,75,0.0,0.0,,0.0,0.0
778,2021. 12 ~2022. 12,AI진단평가,중2,2022-04-11 00:00:00,252,63,63.0,63.0,,63.0,
779,2021. 12 ~2022. 12,AI진단평가,중2,2022-04-11 00:00:00,170,58,18.0,41.0,38.0,15.0,
780,2021. 12 ~2022. 12,AI진단평가,중2,2022-04-11 00:00:00,161,61,54.0,46.0,,0.0,
781,2021. 12 ~2022. 12,AI진단평가,중2,2022-04-11 00:00:00,25,25,0.0,0.0,0.0,0.0,0.0
782,2021. 12 ~2022. 12,AI진단평가,중2,2022-04-11 00:00:00,328,75,65.0,56.0,38.0,38.0,56.0
783,2021. 12 ~2022. 12,AI진단평가,중2,2022-04-11 00:00:00,254,47,43.0,80.0,,61.0,23.0
784,2021. 12 ~2022. 12,AI진단평가,중2,2022-04-11 00:00:00,50,50,,,,,
785,2021. 12 ~2022. 12,AI진단평가,중2,2022-04-11 00:00:00,22,22,0.0,0.0,,0.0,
786,2021. 12 ~2022. 12,AI진단평가,중2,2022-04-11 00:00:00,179,18,22.0,0.0,30.0,61.0,48.0
787,2021. 12 ~2022. 12,AI진단평가,중2,2022-04-12 00:00:00,302,68,65.0,70.0,,53.0,46.0
788,2021. 12 ~2022. 12,AI진단평가,중2,2022-04-12 00:00:00,252,63,63.0,63.0,,63.0,
789,2021. 12 ~2022. 12,AI진단평가,중2,2022-04-12 00:00:00,231,47,11.0,66.0,,46.0,61.0
790,2021. 12 ~2022. 12,AI진단평가,중2,2022-04-12 00:00:00,155,11,40.0,18.0,48.0,0.0,38.0
791,2021. 12 ~2022. 12,AI진단평가,중2,2022-04-12 00:00:00,228,50,36.0,43.0,,61.0,38.0
792,2021. 12 ~2022. 12,AI진단평가,중2,2022-04-12 00:00:00,36,36,0.0,0.0,,0.0,0.0
793,2021. 12 ~2022. 12,AI진단평가,중2,2022-04-12 00:00:00,509,100,86.0,94.0,79.0,79.0,71.0
794,2021. 12 ~2022. 12,AI진단평가,중2,2022-04-13 00:00:00,342,93,29.0,76.0,38.0,53.0,53.0
795,2021. 12 ~2022. 12,AI진단평가,중2,2022-04-13 00:00:00,138,79,36.0,0.0,,23.0,
796,2021. 12 ~2022. 12,AI진단평가,중2,2022-04-13 00:00:00,282,93,36.0,37.0,33.0,45.0,38.0
797,2021. 12 ~2022. 12,AI진단평가,중2,2022-04-13 00:00:00,256,36,58.0,37.0,,79.0,46.0
798,2021. 12 ~2022. 12,AI진단평가,중2,2022-04-13 00:00:00,276,54,33.0,65.0,,63.0,61.0
799,2021. 12 ~2022. 12,AI진단평가,중2,2022-04-13 00:00:00,280,93,68.0,74.0,,45.0,
800,2021. 12 ~2022. 12,AI진단평가,중2,2022-04-13 00:00:00,172,79,93.0,0.0,,0.0,0.0
801,2021. 12 ~2022. 12,AI진단평가,중2,2022-04-13 00:00:00,286,86,29.0,9.0,45.0,38.0,79.0
802,2021. 12 ~2022. 12,AI진단평가,중2,2022-04-13 00:00:00,79,79,0.0,0.0,0.0,0.0,0.0
803,2021. 12 ~2022. 12,AI진단평가,중2,2022-04-14 00:00:00,231,50,93.0,88.0,,0.0,
804,2021. 12 ~2022. 12,AI진단평가,중2,2022-04-14 00:00:00,403,68,100.0,77.0,,79.0,79.0
805,2021. 12 ~2022. 12,AI진단평가,중2,2022-04-14 00:00:00,206,29,36.0,9.0,33.0,53.0,46.0
806,2021. 12 ~2022. 12,AI진단평가,중2,2022-04-14 00:00:00,291,79,18.0,41.0,61.0,46.0,46.0
807,2021. 12 ~2022. 12,AI진단평가,중2,2022-04-14 00:00:00,218,18,22.0,32.0,100.0,23.0,23.0
808,2021. 12 ~2022. 12,AI진단평가,중2,2022-04-14 00:00:00,270,43,79.0,49.0,30.0,0.0,69.0
809,2021. 12 ~2022. 12,AI진단평가,중2,2022-04-14 00:00:00,342,93,79.0,80.0,,90.0,
810,2021. 12 ~2022. 12,AI진단평가,중2,2022-04-14 00:00:00,134,61,11.0,9.0,,30.0,23.0
811,2021. 12 ~2022. 12,AI진단평가,중2,2022-04-15 00:00:00,79,50,29.0,0.0,0.0,0.0,0.0
812,2021. 12 ~2022. 12,AI진단평가,중2,2022-04-15 00:00:00,206,61,47.0,60.0,,38.0,
813,2021. 12 ~2022. 12,AI진단평가,중2,2022-04-15 00:00:00,36,36,0.0,0.0,,0.0,0.0
814,2021. 12 ~2022. 12,AI진단평가,중2,2022-04-16 00:00:00,494,79,86.0,100.0,71.0,79.0,79.0
815,2021. 12 ~2022. 12,AI진단평가,중2,2022-04-16 00:00:00,224,75,18.0,18.0,53.0,30.0,30.0
816,2021. 12 ~2022. 12,AI진단평가,중2,2022-04-16 00:00:00,140,75,65.0,0.0,,0.0,0.0
817,2021. 12 ~2022. 12,AI진단평가,중2,2022-04-16 00:00:00,252,63,63.0,63.0,,63.0,
818,2021. 12 ~2022. 12,AI진단평가,중2,2022-04-16 00:00:00,105,11,18.0,23.0,23.0,30.0,0.0
819,2021. 12 ~2022. 12,AI진단평가,중2,2022-04-17 00:00:00,253,11,29.0,52.0,100.0,61.0,
